"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE972894381872";"Homert 01";"Endgültig stillgelegt";"Speicher";"2500";"8";"22/05/2014";"24/12/2019";"Nordrhein-Westfalen";"59889";"Eslohe";"";"";"";"";"05958016";"";"";"";"";"";"";"";"";"";"";"8";"";"";"08/04/2021";"02/09/2019";"";"";"";"Teileinspeisung";"";"";"";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"EEG957121036824";"";"22/05/2014";"";"";"";"";"";""
"SEE961724289518";"Speicherkraftwerk Kolitzheim";"In Betrieb";"Speicher";"3200";"3200";"01/12/2016";"05/08/2019";"Bayern";"97509";"Kolitzheim";"";"";"Kolitzheim";"953";"09678150";"49,912778";"10,240278";"";"";"";"";"";"";"";"";"4500";"";"";"05/08/2019";"";"";"Speicherkraftwerk Kolitzheim GmbH & Co. KG";"ABR958565218289";"";"";"ÜZ Mainfranken eG (SNB929185184919)";"SNB929185184919";"Geprüft";"Mittelspannung";"SEL943208387989";"";"";"";"";"";"";"";"";""
"SEE955166555447";"Speicherkraftwerk Wildflecken";"In Betrieb";"Speicher";"2250";"2250";"20/03/2017";"05/08/2019";"Bayern";"97772";"Wildflecken";"";"";"Oberwildflecken";"1/46";"09672163";"50,376111";"9,936667";"";"";"";"";"";"";"";"";"3606";"";"";"11/06/2020";"";"";"Speicherkraftwerk Wildflecken GmbH & Co. KG";"ABR998956874250";"";"";"Bayernwerk Netz GmbH (SNB940352624434)";"SNB940352624434";"Geprüft";"Mittelspannung";"SEL910060081294";"";"";"";"";"";"";"";"";""
"SEE949901499233";"Testfeld KT";"In Planung";"Speicher";"1000";"1000";"";"25/09/2019";"Bayern";"97318";"Kitzingen";"Steigweg";"24";"";"";"09675141";"49,730948";"10,140216";"";"";"";"";"";"";"";"";"1000";"";"";"25/09/2019";"";"01/10/2019";"BELECTRIC";"ABR973237298260";"Volleinspeisung";"";"Licht-, Kraft- und Wasserwerke Kitzingen GmbH (SNB943319305469)";"SNB943319305469";"";"Mittelspannung";"";"";"";"";"";"";"";"";"";""
"SEE989415663904";"BES LRB";"In Betrieb";"Speicher";"7300";"7300";"25/06/2018";"04/12/2019";"Sachsen";"04862";"Mockrehna";"Wildschützer Straße";"999 x";"";"";"14730190";"51,491738";"12,897686";"";"";"";"";"";"";"";"";"11333";"";"";"27/09/2021";"";"";"BES Langenreichenbach GmbH & Co. KG";"ABR937505471571";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung; Mittelspannung";"SEL987407383762";"";"";"";"";"";"";"";"";""
"SEE908200741672";"BES LRB 2";"In Betrieb";"Speicher";"9125";"9125";"25/06/2018";"04/12/2019";"Sachsen";"04862";"Mockrehna";"Wildschützer Straße";"999 y";"";"";"14730190";"51,491928";"12,897767";"";"";"";"";"";"";"";"";"14166";"";"";"15/06/2022";"";"";"BES Langenreichenbach GmbH & Co. KG";"ABR937505471571";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL991566967978";"";"";"";"";"";"";"";"";""
"SEE963081865633";"BES BEN";"In Betrieb";"Speicher";"16425";"16425";"14/11/2018";"04/12/2019";"Sachsen";"04828";"Bennewitz";"Parkstraße";"2";"";"";"14729030";"51,356015";"12,70713";"";"";"";"";"";"";"";"";"25500";"";"";"16/08/2021";"";"";"BES Bennewitz GmbH & Co. KG";"ABR921213385473";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL989511155808";"";"";"";"";"";"";"";"";""
"SEE976362409624";"BES GRO";"In Betrieb";"Speicher";"17250";"16425";"18/07/2019";"04/12/2019";"Sachsen";"04539";"Groitzsch";"Luckaer Straße";"29 z";"";"";"14729170";"51,140876";"12,293085";"";"";"";"";"";"";"";"";"25500";"";"";"31/05/2021";"";"";"BES Groitzsch GmbH& Co. KG";"ABR976700826632";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL970721803719";"";"";"";"";"";"";"";"";""
"SEE962764296498";"Wittstock";"In Betrieb";"Speicher";"1600";"1600";"07/10/2014";"16/12/2019";"Brandenburg";"16909";"Wittstock";"";"";"Alt Daber";"Flur 21 Flurstück 242";"12068181";"53,199592";"12,524777";"";"";"";"";"";"";"";"";"1600";"";"";"05/05/2022";"";"";"Speicherkraftwerk Wittstock 1 GmbH & Co. KG";"ABR916120431191";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL964792926958";"";"";"";"";"";"";"";"";""
"SEE974689428038";"GBD Batterien";"In Betrieb";"Speicher";"1400";"1400";"02/06/2016";"08/01/2021";"Thüringen";"07548";"Gera";"Leibnizstraße";"86";"";"";"16052000";"50,894888";"12,069422";"";"";"";"";"";"";"";"";"1000";"";"";"15/09/2021";"";"";"GBD Batterien";"ABR966817884847";"Volleinspeisung";"";"GeraNetz GmbH (SNB948816192529)";"SNB948816192529";"Geprüft";"Mittelspannung";"SEL900948414993";"";"";"";"";"";"";"";"";""
"SEE906621776839";"Hausdach";"In Planung";"Speicher";"2470";"6";"";"19/05/2022";"Baden-Württemberg";"79199";"Kirchzarten";"";"";"";"";"08315064";"";"";"";"";"";"";"";"";"";"";"2470";"";"";"19/05/2022";"";"10/06/2022";"natürliche Person (ABR920481883230)";"ABR920481883230";"Teileinspeisung";"";"Energie- und Wasserversorgung Kirchzarten GmbH (SNB966380208811)";"SNB966380208811";"";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"";"";"";"";"";"";"";""
